[17:05:04.643] === session demarree, SROptimizer 0.1.0 ===
[17:05:04.645] config : profil=custom lod=False ab=False unlockFrameRate=False
[17:06:47.044] etat : privee 0 Mo | travail 0 Mo | unity 448 Mo | geree 49 Mo | acteurs 110 | fps 120
[17:06:49.047] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 47 Mo | acteurs 110 | fps 120
[17:06:51.055] etat : privee 0 Mo | travail 0 Mo | unity 448 Mo | geree 48 Mo | acteurs 110 | fps 116
[17:06:53.057] etat : privee 0 Mo | travail 0 Mo | unity 811 Mo | geree 80 Mo | acteurs 110 | fps 120
[17:06:58.907] etat : privee 0 Mo | travail 0 Mo | unity 1056 Mo | geree 102 Mo | acteurs 266 | fps 112
[17:07:00.913] etat : privee 0 Mo | travail 0 Mo | unity 1036 Mo | geree 123 Mo | acteurs 266 | fps 95
[17:07:02.917] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 107 Mo | acteurs 266 | fps 86
[17:07:04.919] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 134 Mo | acteurs 266 | fps 89
[17:07:06.922] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 121 Mo | acteurs 266 | fps 87
[17:07:08.924] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 108 Mo | acteurs 266 | fps 81
[17:07:10.932] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 134 Mo | acteurs 266 | fps 76
[17:07:12.946] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 121 Mo | acteurs 266 | fps 75
[17:07:14.952] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 109 Mo | acteurs 266 | fps 76
[17:07:16.964] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 135 Mo | acteurs 266 | fps 95
[17:07:18.967] etat : privee 0 Mo | travail 0 Mo | unity 1035 Mo | geree 122 Mo | acteurs 266 | fps 89
[17:07:20.972] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 109 Mo | acteurs 266 | fps 94
[17:07:23.001] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 99 Mo | acteurs 266 | fps 21
[17:07:25.004] etat : privee 0 Mo | travail 0 Mo | unity 1035 Mo | geree 123 Mo | acteurs 266 | fps 77
[17:07:27.010] etat : privee 0 Mo | travail 0 Mo | unity 1035 Mo | geree 110 Mo | acteurs 266 | fps 95
[17:07:29.031] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 99 Mo | acteurs 266 | fps 20
[17:07:31.043] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 123 Mo | acteurs 266 | fps 89
[17:07:33.048] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 110 Mo | acteurs 266 | fps 88
[17:07:35.051] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 99 Mo | acteurs 266 | fps 19
[17:07:37.052] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 123 Mo | acteurs 266 | fps 82
[17:07:39.055] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 111 Mo | acteurs 266 | fps 95
[17:07:41.066] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 100 Mo | acteurs 266 | fps 70
[17:07:43.077] etat : privee 0 Mo | travail 0 Mo | unity 1035 Mo | geree 125 Mo | acteurs 266 | fps 95
[17:07:45.079] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 111 Mo | acteurs 266 | fps 94
[17:07:47.083] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 100 Mo | acteurs 266 | fps 80
[17:07:49.090] etat : privee 0 Mo | travail 0 Mo | unity 1035 Mo | geree 125 Mo | acteurs 266 | fps 81
[17:07:51.100] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 112 Mo | acteurs 266 | fps 90
[17:07:53.111] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 101 Mo | acteurs 266 | fps 79
[17:07:55.121] etat : privee 0 Mo | travail 0 Mo | unity 1035 Mo | geree 127 Mo | acteurs 266 | fps 100
