[17:11:39.061] === session demarree, SROptimizer 0.1.0 ===
[17:11:39.064] config : profil=custom lod=True ab=False unlockFrameRate=False
[17:13:14.986] etat : privee 2010 Mo | travail 2043 Mo | unity 1031/1306 Mo | geree 105 Mo | acteurs 143 | fps 95
[17:13:16.997] etat : privee 2010 Mo | travail 2043 Mo | unity 1030/1306 Mo | geree 106 Mo | acteurs 143 | fps 97
[17:13:19.004] etat : privee 2010 Mo | travail 2043 Mo | unity 1030/1306 Mo | geree 101 Mo | acteurs 143 | fps 120
[17:13:21.007] etat : privee 2010 Mo | travail 2043 Mo | unity 1030/1306 Mo | geree 102 Mo | acteurs 143 | fps 97
[17:13:23.011] etat : privee 2010 Mo | travail 2043 Mo | unity 1030/1306 Mo | geree 101 Mo | acteurs 140 | fps 118
[17:13:25.016] etat : privee 2010 Mo | travail 2043 Mo | unity 1031/1306 Mo | geree 103 Mo | acteurs 220 | fps 89
[17:13:27.027] etat : privee 2012 Mo | travail 2044 Mo | unity 1031/1306 Mo | geree 100 Mo | acteurs 218 | fps 98
[17:13:29.031] etat : privee 2012 Mo | travail 2044 Mo | unity 1029/1306 Mo | geree 98 Mo | acteurs 136 | fps 119
[17:13:31.036] etat : privee 2012 Mo | travail 2044 Mo | unity 1029/1306 Mo | geree 93 Mo | acteurs 136 | fps 106
[17:13:33.038] etat : privee 2027 Mo | travail -2036 Mo | unity 1029/1306 Mo | geree 96 Mo | acteurs 136 | fps 85
[17:13:35.042] etat : privee 2014 Mo | travail 2046 Mo | unity 1029/1306 Mo | geree 107 Mo | acteurs 130 | fps 98
[17:13:37.055] etat : privee 2014 Mo | travail 2046 Mo | unity 1030/1306 Mo | geree 105 Mo | acteurs 209 | fps 71
[17:13:39.060] etat : privee 2014 Mo | travail 2046 Mo | unity 1030/1306 Mo | geree 108 Mo | acteurs 206 | fps 112
[17:13:41.069] etat : privee 2014 Mo | travail 2046 Mo | unity 1028/1306 Mo | geree 103 Mo | acteurs 124 | fps 88
[17:13:43.069] etat : privee 2014 Mo | travail 2046 Mo | unity 1028/1306 Mo | geree 97 Mo | acteurs 124 | fps 97
[17:13:45.073] etat : privee 2014 Mo | travail 2047 Mo | unity 1028/1306 Mo | geree 92 Mo | acteurs 128 | fps 80
[17:13:47.078] etat : privee 2014 Mo | travail 2047 Mo | unity 1028/1306 Mo | geree 108 Mo | acteurs 128 | fps 119
[17:13:49.083] etat : privee 2014 Mo | travail 2047 Mo | unity 1028/1306 Mo | geree 104 Mo | acteurs 128 | fps 120
[17:13:51.083] etat : privee 2014 Mo | travail 2047 Mo | unity 1028/1306 Mo | geree 101 Mo | acteurs 128 | fps 118
[17:13:53.084] etat : privee 2006 Mo | travail 2039 Mo | unity 1028/1306 Mo | geree 98 Mo | acteurs 128 | fps 120
[17:13:55.091] etat : privee 1998 Mo | travail 2031 Mo | unity 1028/1306 Mo | geree 96 Mo | acteurs 128 | fps 120
[17:13:57.771] etat : privee 1735 Mo | travail 1749 Mo | unity 806/1238 Mo | geree 98 Mo | acteurs 148 | fps 5
[17:13:59.111] === fin normale : fermeture du jeu ===
